"","component","player1","player2","prob1wins","prob2wins"
"90","full_dataset","s9","s13",0.713404956892395,0.286595043107605
"91","full_dataset","s14","s13",0.632991778031628,0.367008221968372
"92","full_dataset","s6","s15",0.97557184504293,0.0244281549570698
"93","full_dataset","s1","s15",0.975258913758884,0.0247410862411165
"94","full_dataset","s11","s15",0.965841589379309,0.0341584106206908
"95","full_dataset","s7","s15",0.965272633999005,0.0347273660009954
"96","full_dataset","s3","s15",0.960037424644127,0.0399625753558726
"97","full_dataset","s10","s15",0.945732966024366,0.0542670339756345
"98","full_dataset","s2","s15",0.936835266871548,0.0631647331284521
"99","full_dataset","s5","s15",0.935309584779303,0.0646904152206966
"100","full_dataset","s4","s15",0.913457369217041,0.0865426307829593
"101","full_dataset","s12","s15",0.898648617458905,0.101351382541095
"102","full_dataset","s8","s15",0.879674623009435,0.120325376990565
