formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TFF,40,41,43,2.435,3,3,9,2,4,3,5,4
FTT,40,41,43,4.879,5,7,6,2,2,7,2,2
FTF,40,41,43,4.879,5,7,6,2,2,7,2,2
FFT,40,41,43,6.471,6,6,6,2,8,1,1,3
FFF,40,41,43,6.471,6,6,6,2,8,1,1,3
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,42,43,44,5.103,4,8,10,6,3,0,1,1
TTF,42,43,44,5.975,6,6,10,6,0,3,0,2
TFT,42,43,44,3.377,10,8,4,6,3,0,1,1
TFF,42,43,44,3.195,10,8,5,5,0,3,1,1
FTT,42,43,44,5.103,4,8,10,6,3,0,1,1
FTF,42,43,44,5.975,6,6,10,6,0,3,0,2
FFT,42,43,44,3.377,10,8,4,6,3,0,1,1
FFF,42,43,44,3.195,10,8,5,5,0,3,1,1
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,45,46,53,4.767,14,6,13,0,0,0,0,0
TTF,45,46,53,4.767,14,6,13,0,0,0,0,0
TFT,45,46,53,4.767,14,6,13,0,0,0,0,0
TFF,45,46,53,4.767,14,6,13,0,0,0,0,0
FTT,45,46,53,4.767,14,6,13,0,0,0,0,0
FTF,45,46,53,4.767,14,6,13,0,0,0,0,0
FFT,45,46,53,4.767,14,6,13,0,0,0,0,0
FFF,45,46,53,4.767,14,6,13,0,0,0,0,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,47,48,54,9.599,9,8,3,0,1,9,2,1
TTF,47,48,54,9.599,9,8,3,0,1,9,2,1
TFT,47,48,54,9.599,9,8,3,0,1,9,2,1
TFF,47,48,54,9.599,9,8,3,0,1,9,2,1
FTT,47,48,54,6.891,8,9,3,0,9,1,2,1
FTF,47,48,54,6.891,8,9,3,0,9,1,2,1
FFT,47,48,54,6.891,8,9,3,0,9,1,2,1
FFF,47,48,54,6.891,8,9,3,0,9,1,2,1
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,49,50,55,3.564,11,8,2,1,3,6,2,0
TTF,49,50,55,3.564,11,8,2,1,3,6,2,0
TFT,49,50,55,3.564,11,8,2,1,3,6,2,0
